day,max_temp,prec_cover,cloud_cover,solar_energy,sunset,DST,charge_to
Weekday,17.8,25,47.7,14.5,0.841111111,TRUE,42.1875
Saturday,17,41.67,49.1,11.9,0.839548611,TRUE,67
Sunday,16.8,33.33,56.5,9.2,0.837974537,TRUE,96
Monday,17.7,12.5,62.2,13.1,0.836400463,TRUE,65
Weekday,16.9,25,76.1,9.8,0.834814815,TRUE,84
Weekday,18.9,8.33,51.1,18,0.831134259,TRUE,11.2890625
Weekday,17.9,4.17,73.4,13.5,0.831608796,TRUE,56.75
Weekday,19.9,0,78.1,6.9,0.83,TRUE,81
Saturday,21.9,0,54.6,15.2,0.82837963,TRUE,41
Sunday,24.9,0,5.7,17.1,0.826759259,TRUE,22
Monday,27.9,4.17,1.3,19.1,0.825127315,TRUE,1.4921875
Weekday,26.9,0,5.7,19.5,0.82349537,TRUE,0
Weekday,26,0,80.9,14.7,0.821863426,TRUE,29
Weekday,29,0,30.6,15.9,0.820219907,TRUE,9.3046875
Weekday,28,4.17,20,14.8,0.818564815,TRUE,22
Saturday,30,4.17,25.6,16.2,0.816921296,TRUE,30
Sunday,24.7,20.83,35.2,5.7,0.815266204,TRUE,95
Monday,21.8,37.5,61.8,6.7,0.813599537,TRUE,68.703125
Weekday,17.7,87.5,88.3,3.9,0.811944444,TRUE,100
Weekday,18.9,0,44.6,15.9,0.810277778,TRUE,0
Weekday,17,33.33,81.8,2.8,0.808611111,TRUE,100
Weekday,22,0,56.6,17.6,0.806944444,TRUE,10.28125
Saturday,19,0,79.5,7.6,0.805277778,TRUE,72
Sunday,19.9,25,82.2,7,0.803599537,TRUE,96
Monday,17.9,62.5,66.8,8.6,0.80193287,TRUE,73.5859375
Weekday,18.9,33.33,82.2,3,0.80025463,TRUE,100
Weekday,17,87.5,77,2.3,0.798587963,TRUE,100
Weekday,16.6,33.33,25.5,10.8,0.796909722,TRUE,46.796875
Weekday,15.5,37.5,43.2,8.4,0.795243056,TRUE,46.328125
Saturday,15.8,20.83,44.3,9.1,0.793564815,TRUE,51.2109375
Sunday,19.8,50,76.8,4.9,0.791898148,TRUE,100
Monday,19.7,16.67,44.8,11.8,0.790231481,TRUE,59
Weekday,18.9,25,61.9,7,0.788564815,TRUE,96
Weekday,18.7,20.83,71.4,5.8,0.786898148,TRUE,100
Weekday,16.9,20.83,56.6,5.3,0.785231481,TRUE,93.1171875
Weekday,18.5,33.33,41.5,13,0.782881944,TRUE,43.8671875
Saturday,15.9,37.5,62.1,5.4,0.781921296,TRUE,95.0703125
Sunday,19.9,33.33,85.9,2.9,0.780266204,TRUE,100
Monday,16.8,41.67,60.9,5.7,0.778611111,TRUE,100
Weekday,16,27.5,51,10.2,0.776967593,TRUE,54.140625
Weekday,16.9,0,61.5,10.1,0.775335648,TRUE,69
Weekday,17,29.17,74.7,4.7,0.77369213,TRUE,87.2578125
Weekday,20,25,64.8,7.2,0.772060185,TRUE,100
Saturday,22.9,0,87.7,6.8,0.770439815,TRUE,28.984375
Sunday,21.9,0,83.6,9.7,0.768819444,TRUE,78.46875
Monday,22,0,86.4,8.3,0.767210648,TRUE,86
Weekday,20.9,0,82.9,9.1,0.765601852,TRUE,86
Weekday,18,54.17,70,1.5,0.76400463,TRUE,100
Weekday,13.9,4.17,80.5,6.8,0.762407407,TRUE,100
Weekday,15.9,66.67,76.6,2.4,0.760833333,TRUE,100
Saturday,12,37.5,31.6,9.5,0.759259259,TRUE,84.328125
Sunday,11,0,4.3,11.4,0.757696759,TRUE,60.1171875
Monday,10,4.17,36.7,7,0.756134259,TRUE,100
Weekday,13.9,0,36.9,9.9,0.754594907,TRUE,58.9375
Weekday,14,41.67,64.7,6.6,0.753055556,TRUE,93.1171875
Weekday,17.9,45.83,73.1,4.2,0.751527778,TRUE,89.2109375
Weekday,14.7,100,84,0.6,0.750011574,TRUE,100
Saturday,10.9,62.5,73.2,3,0.748518519,TRUE,100
Sunday,12.8,25,40.9,10,0.747025463,TRUE,84.328125
Monday,14,8.33,25.5,5.9,0.745543981,TRUE,100
Weekday,11.9,58.33,71.7,2.1,0.744085648,TRUE,100
Weekday,11.2,8.33,62.2,8.8,0.742627315,TRUE,63.8203125
Weekday,12.8,45.83,74.8,2.5,0.74119213,TRUE,100
Weekday,11.5,20.83,71,1.9,0.739768519,TRUE,100
Saturday,13.9,33.33,79.6,4.4,0.738368056,TRUE,100
Sunday,12.9,8.33,56,7.1,0.6953125,FALSE,76.515625
Monday,13.2,70.83,72.3,2.1,0.693935185,FALSE,100
Weekday,11.8,50,73.4,1.9,0.692581019,FALSE,100
Weekday,13,33.33,56.3,4,0.691238426,FALSE,100
Weekday,10.9,75,85.4,1.5,0.689918981,FALSE,100
Weekday,11.8,66.67,54,5.3,0.688611111,FALSE,83.3515625
Saturday,7.9,66.67,77,1.2,0.687326389,FALSE,100
Sunday,11.6,29.17,59.9,4.9,0.686064815,FALSE,100
Monday,12.6,12.5,33.7,5.4,0.684814815,FALSE,100
Weekday,11.7,25,27.9,5.1,0.683599537,FALSE,100
Weekday,11.7,41.67,62.9,1.8,0.682395833,FALSE,100
Weekday,9,45.83,61,3.1,0.681215278,FALSE,100
Weekday,8.9,12.5,37.8,5.2,0.68005787,FALSE,98
Saturday,10,12.5,24.5,6,0.678935185,FALSE,100
Sunday,8.8,58.33,66.9,1.7,0.677824074,FALSE,100
Monday,12.8,50,59,5.7,0.676736111,FALSE,100
Weekday,11,45.83,43.6,3.2,0.67568287,FALSE,100
Weekday,10.9,0,50.6,4.4,0.674652778,FALSE,100
Weekday,7,4.17,80.4,1,0.673645833,FALSE,100
Weekday,9.9,8.33,56.1,4.4,0.672673611,FALSE,93.1171875
Saturday,13.9,45.83,78,1.3,0.671724537,FALSE,100
Sunday,12.8,58.33,71.8,1,0.670810185,FALSE,100
Monday,11,41.67,76.3,3.5,0.669918981,FALSE,100
Weekday,9.8,20.83,86.6,3.3,0.6690625,FALSE,100
Weekday,11.9,0,90.2,1.2,0.668240741,FALSE,100
Weekday,13,4.17,66.3,2,0.66744213,FALSE,100
Weekday,9.7,12.5,46.8,5.8,0.666689815,FALSE,99
Saturday,6,4.17,11.1,5.2,0.665960648,FALSE,100
Sunday,4.8,20.83,92,1.8,0.665266204,FALSE,100
Monday,5.7,87.5,90.2,0.7,0.664606481,FALSE,100
Weekday,6.8,25,53.1,4.8,0.663981481,FALSE,100
Weekday,3,8.33,20.3,4.4,0.663391204,FALSE,100
Weekday,3.9,0,39.6,5.2,0.662847222,FALSE,94.09375
Weekday,0.8,12.5,55.9,2.1,0.662326389,FALSE,100
Saturday,-1.2,0,90.5,1.3,0.661851852,FALSE,100
Sunday,2.6,70.83,96.6,0.7,0.661412037,FALSE,100
Weekday,5.8,62.5,74.8,1.5,0.660335648,FALSE,100
Weekday,3.9,12.5,18.6,2.7,0.66005787,FALSE,100
